,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AGE,ECHEANCE,INCOME_CREDIT_PERC,DAYS_EMPLOYED_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,PREVIOUS_LOANS_COUNT,PREV_BUR_MEAN_DAYS_CREDIT,PREV_BUR_MEAN_CREDIT_DAY_OVERDUE,PREV_BUR_MEAN_DAYS_CREDIT_ENDDATE,PREV_BUR_MEAN_DAYS_ENDDATE_FACT,PREV_BUR_MEAN_AMT_CREDIT_MAX_OVERDUE,PREV_BUR_MEAN_CNT_CREDIT_PROLONG,PREV_BUR_MEAN_AMT_CREDIT_SUM,PREV_BUR_MEAN_AMT_CREDIT_SUM_DEBT,PREV_BUR_MEAN_AMT_CREDIT_SUM_LIMIT,PREV_BUR_MEAN_AMT_CREDIT_SUM_OVERDUE,PREV_BUR_MEAN_DAYS_CREDIT_UPDATE,PREV_BUR_MEAN_AMT_ANNUITY,PREV_BUR_MEAN_MONTHS_BALANCE_MEAN,PREVIOUS_APPLICATION_COUNT,PREV_APPL_MEAN_AMT_ANNUITY,PREV_APPL_MEAN_AMT_APPLICATION,PREV_APPL_MEAN_AMT_CREDIT,PREV_APPL_MEAN_AMT_DOWN_PAYMENT,PREV_APPL_MEAN_AMT_GOODS_PRICE,PREV_APPL_MEAN_HOUR_APPR_PROCESS_START,PREV_APPL_MEAN_NFLAG_LAST_APPL_IN_DAY,PREV_APPL_MEAN_RATE_DOWN_PAYMENT,PREV_APPL_MEAN_RATE_INTEREST_PRIMARY,PREV_APPL_MEAN_RATE_INTEREST_PRIVILEGED,PREV_APPL_MEAN_DAYS_DECISION,PREV_APPL_MEAN_SELLERPLACE_AREA,PREV_APPL_MEAN_CNT_PAYMENT,PREV_APPL_MEAN_DAYS_FIRST_DRAWING,PREV_APPL_MEAN_DAYS_FIRST_DUE,PREV_APPL_MEAN_DAYS_LAST_DUE_1ST_VERSION,PREV_APPL_MEAN_DAYS_LAST_DUE,PREV_APPL_MEAN_DAYS_TERMINATION,PREV_APPL_MEAN_NFLAG_INSURED_ON_APPROVAL,PREV_APPL_MEAN_CARD_MEAN_MONTHS_BALANCE,PREV_APPL_MEAN_CARD_MEAN_AMT_BALANCE,PREV_APPL_MEAN_CARD_MEAN_AMT_CREDIT_LIMIT_ACTUAL,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_ATM_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_OTHER_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_DRAWINGS_POS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_INST_MIN_REGULARITY,PREV_APPL_MEAN_CARD_MEAN_AMT_PAYMENT_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_PAYMENT_TOTAL_CURRENT,PREV_APPL_MEAN_CARD_MEAN_AMT_RECEIVABLE_PRINCIPAL,PREV_APPL_MEAN_CARD_MEAN_AMT_RECIVABLE,PREV_APPL_MEAN_CARD_MEAN_AMT_TOTAL_RECEIVABLE,PREV_APPL_MEAN_CARD_MEAN_CNT_DRAWINGS_ATM_CURRENT,PREV_APPL_MEAN_CARD_MEAN_CNT_DRAWINGS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_CNT_DRAWINGS_OTHER_CURRENT,PREV_APPL_MEAN_CARD_MEAN_CNT_DRAWINGS_POS_CURRENT,PREV_APPL_MEAN_CARD_MEAN_CNT_INSTALMENT_MATURE_CUM,PREV_APPL_MEAN_CARD_MEAN_SK_DPD,PREV_APPL_MEAN_CARD_MEAN_SK_DPD_DEF,PREV_APPL_MEAN_INSTALL_MEAN_NUM_INSTALMENT_VERSION,PREV_APPL_MEAN_INSTALL_MEAN_NUM_INSTALMENT_NUMBER,PREV_APPL_MEAN_INSTALL_MEAN_DAYS_INSTALMENT,PREV_APPL_MEAN_INSTALL_MEAN_DAYS_ENTRY_PAYMENT,PREV_APPL_MEAN_INSTALL_MEAN_AMT_INSTALMENT,PREV_APPL_MEAN_INSTALL_MEAN_AMT_PAYMENT,PREV_APPL_MEAN_POS_MEAN_NUM_INSTALMENT_VERSION,PREV_APPL_MEAN_POS_MEAN_NUM_INSTALMENT_NUMBER,PREV_APPL_MEAN_POS_MEAN_DAYS_INSTALMENT,PREV_APPL_MEAN_POS_MEAN_DAYS_ENTRY_PAYMENT,PREV_APPL_MEAN_POS_MEAN_AMT_INSTALMENT,PREV_APPL_MEAN_POS_MEAN_AMT_PAYMENT
149,100176,0.0,Cash loans,F,N,Y,0,135000.0,1078200.0,31653.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010006,-17682,-4319.0,-2630.0,-1211,,1,1,0,1,1,0,Laborers,2.0,2,2,WEDNESDAY,6,0,0,0,0,0,0,Government,,0.5852908069048889,0.816092360478441,0.0701,0.0533,0.996,0.9456,0.018,0.08,0.069,0.3333,0.375,0.0096,0.0555,0.07,0.0077,0.0164,0.0714,0.0553,0.996,0.9477,0.0182,0.0806,0.069,0.3333,0.375,0.0098,0.0606,0.0729,0.0078,0.0174,0.0708,0.0533,0.996,0.9463,0.0181,0.08,0.069,0.3333,0.375,0.0098,0.0564,0.0713,0.0078,0.0168,reg oper account,block of flats,0.0685,Panel,No,1.0,0.0,1.0,0.0,-131.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,48.44383561643836,34.06312197895934,0.1252086811352253,0.2442596991290578,67500.0,0.2344666666666666,0.0293572621035058,1.0,-2423.0,0.0,-2331.0,-2317.0,,0.0,200655.0,,,0.0,-2317.0,0.0,-39.5,2.0,11110.545,125977.5,123504.75,2472.75,125977.5,9.5,1.0,0.0544545454545454,,,-2670.0,3.0,15.0,365243.0,-2638.0,-2218.0,-2233.0,-2225.5,0.0,,,,,,,,,,,,,,,,,,,,,1.0217391304347827,7.75,-2435.5,-2437.7391304347825,11385.454239130437,11385.454239130437,1.0217391304347827,7.75,-2435.5,-2437.7391304347825,11385.454239130437,11385.454239130437
155,100182,0.0,Revolving loans,F,N,Y,1,112500.0,135000.0,6750.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.020246,-13558,-4758.0,-6426.0,-4360,,1,1,0,1,0,0,Core staff,2.0,3,3,THURSDAY,8,0,0,0,0,0,0,Government,0.4643561769338667,0.7518692268821991,0.4206109640437848,0.067,0.0806,0.9747,0.6532,0.0086,0.0,0.1379,0.1667,0.2083,0.0547,0.0538,0.0332,0.0039,0.1078,0.0683,0.0836,0.9747,0.6668,0.0087,0.0,0.1379,0.1667,0.2083,0.056,0.0588,0.0346,0.0039,0.1141,0.0677,0.0806,0.9747,0.6578,0.0086,0.0,0.1379,0.1667,0.2083,0.0557,0.0547,0.0338,0.0039,0.1101,reg oper account,block of flats,0.0496,"Stone, brick",No,0.0,0.0,0.0,0.0,-1933.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,37.14520547945205,20.0,0.8333333333333334,0.3509367163298421,56250.0,0.06,0.05,7.0,-761.4285714285714,0.0,9408.5,-500.0,0.0,0.0,103194.0,81609.42857142857,26.11125,0.0,-152.0,,,4.0,6389.01,62238.375,86198.625,2970.0,124476.75,10.5,1.0,0.2003902982994145,,,-636.25,6.75,30.0,365243.0,-1038.0,-168.0,181835.5,181839.0,0.5,,,,,,,,,,,,,,,,,,,,,1.0,4.777777777777778,-924.6666666666666,-928.6111111111112,6388.79875,6107.571250000001,1.0,4.777777777777778,-924.6666666666666,-928.6111111111112,6388.79875,6107.571250000001
178,100207,0.0,Cash loans,F,N,Y,0,157500.0,700830.0,22738.5,585000.0,"Spouse, partner",Working,Secondary / secondary special,Civil marriage,House / apartment,0.01885,-16518,-3592.0,-3627.0,-44,,1,1,0,1,0,0,Waiters/barmen staff,2.0,2,2,SATURDAY,10,0,0,0,0,0,0,Government,,0.6717825437089173,0.5937175866150576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2709.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,45.25479452054795,30.82129428062537,0.2247335302427122,0.2174597408887274,78750.0,0.1443714285714285,0.0324451008090407,5.0,-758.2,0.0,640.8,-152.0,8844.75,0.0,337860.0,281595.0,0.0,0.0,-98.0,,,1.0,5292.0,45000.0,45000.0,0.0,45000.0,11.0,1.0,0.0,,,-2709.0,-1.0,12.0,365243.0,-2679.0,-2349.0,-2529.0,-2526.0,0.0,,,,,,,,,,,,,,,,,,,,,1.1666666666666667,3.5,-2604.0,-2607.6666666666665,10294.35,10294.35,1.1666666666666667,3.5,-2604.0,-2607.6666666666665,10294.35,10294.35
339,100391,0.0,Cash loans,F,N,Y,1,153000.0,808650.0,26217.0,675000.0,Family,Working,Secondary / secondary special,Single / not married,House / apartment,0.015221,-18315,-497.0,-2883.0,-1862,,1,1,1,1,0,0,Sales staff,2.0,2,2,MONDAY,10,0,0,0,0,0,0,Other,0.6350347077546292,0.4581525181168522,0.8327850252992314,0.0237,0.0,0.9762,0.6736,0.0013,0.0,0.069,0.0417,,0.0282,0.0193,0.0137,0.0,0.0,0.0242,0.0,0.9762,0.6864,0.0013,0.0,0.069,0.0417,,0.0289,0.0211,0.0143,0.0,0.0,0.0239,0.0,0.9762,0.6779999999999999,0.0013,0.0,0.069,0.0417,,0.0287,0.0197,0.014,0.0,0.0,reg oper account,block of flats,0.0115,"Stone, brick",No,0.0,0.0,0.0,0.0,-374.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,50.17808219178082,30.84449021627189,0.1892042292710072,0.0271362271362271,76500.0,0.1713529411764706,0.0324207011686143,9.0,-1510.7777777777778,0.0,-623.8888888888889,-1515.8333333333333,4034.6325,0.0,108230.0,65613.35250000001,6013.311428571428,0.0,-900.6666666666666,,,2.0,2864.2725,30240.0,28854.0,3240.0,30240.0,10.0,1.0,0.115142296003988,,,-1505.0,13.0,12.0,365243.0,-1472.0,-1142.0,-1277.0,-1271.5,0.0,,,,,,,,,,,,,,,,,,,,,1.1666666666666663,4.25,-1374.5,-1385.7083333333333,7539.661874999999,7539.661874999999,1.1666666666666663,4.25,-1374.5,-1385.7083333333333,7539.661874999999,7539.661874999999
408,100472,1.0,Cash loans,M,Y,Y,1,135000.0,545040.0,26509.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0084739999999999,-13923,-519.0,-10704.0,-4739,11.0,1,1,1,1,1,0,Laborers,3.0,2,2,THURSDAY,15,0,0,0,0,0,0,Self-employed,,0.3658072346409718,0.2431864804420123,0.0619,0.0626,0.9791,0.7144,0.0243,0.0,0.1379,0.1667,0.2083,0.0,0.0504,0.0537,0.0,0.0,0.063,0.0649,0.9791,0.7256,0.0246,0.0,0.1379,0.1667,0.2083,0.0,0.0551,0.056,0.0,0.0,0.0625,0.0626,0.9791,0.7182,0.0245,0.0,0.1379,0.1667,0.2083,0.0,0.0513,0.0547,0.0,0.0,reg oper account,block of flats,0.0577,Panel,No,1.0,1.0,1.0,1.0,-2527.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.14520547945205,20.56017654048549,0.2476882430647292,0.0372764490411549,45000.0,0.1963666666666666,0.0486377146631439,1.0,-197.0,64.0,1264.0,,18920.25,0.0,900000.0,874039.5,0.0,18920.25,-44.0,,,2.0,8094.69,40477.5,36429.75,8095.5,80955.0,13.5,1.0,0.1089090909090909,,,-1268.0,74.0,10.0,365243.0,-2496.0,-2226.0,-2226.0,-2223.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,5.5,-2361.0,-2375.0,8084.974499999999,8084.974499999999,1.0,5.5,-2361.0,-2375.0,8084.974499999999,8084.974499999999
692,100801,0.0,Cash loans,F,N,Y,0,112500.0,223884.0,26568.0,202500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.025164,-9528,-183.0,-4391.0,-2194,,1,1,0,1,0,1,Core staff,1.0,2,2,THURSDAY,9,0,0,0,0,0,0,Services,,0.2257759435428911,,0.2969,0.1459,0.9916,0.8844,0.0402,0.32,0.2759,0.375,0.4167,0.0205,0.2421,0.2944,0.0,0.0,0.3025,0.1514,0.9916,0.8889,0.0406,0.3222,0.2759,0.375,0.4167,0.021,0.2645,0.3067,0.0,0.0,0.2998,0.1459,0.9916,0.8859,0.0404,0.32,0.2759,0.375,0.4167,0.0209,0.2463,0.2997,0.0,0.0,reg oper spec account,block of flats,0.2315,Panel,No,1.0,0.0,1.0,0.0,-2669.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,26.10410958904109,8.426829268292684,0.5024923621160958,0.0192065491183879,112500.0,0.23616,0.1186685962373371,,,,,,,,,,,,,,,1.0,12324.15,80995.5,77706.0,8100.0,80995.5,8.0,1.0,0.1028090851879398,,,-2669.0,44.0,8.0,365243.0,-2638.0,-2428.0,-2428.0,-2419.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,4.5,-2533.0,-2546.375,12319.0875,12319.0875,1.0,4.5,-2533.0,-2546.375,12319.0875,12319.0875
848,100969,0.0,Cash loans,F,N,Y,0,216000.0,485640.0,39069.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.072508,-8545,-213.0,-5.0,-1230,,1,1,0,1,0,0,,1.0,1,1,TUESDAY,12,0,0,0,0,0,0,Business Entity Type 3,,0.7562409387781144,0.6195277080511546,0.1954,0.1165,0.9791,0.7144,0.0272,0.2,0.1552,0.4375,0.4792,0.018,0.1593,0.181,0.0,0.0085,0.0977,0.0414,0.9791,0.7256,0.0158,0.0806,0.0345,0.3333,0.375,0.0,0.0854,0.0831,0.0,0.0004,0.1973,0.1165,0.9791,0.7182,0.0274,0.2,0.1552,0.4375,0.4792,0.0183,0.162,0.1843,0.0,0.0087,reg oper account,block of flats,0.2221,Block,No,0.0,0.0,0.0,0.0,-1373.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,23.410958904109588,12.430315595484911,0.4447739065974796,0.0249268578115857,216000.0,0.180875,0.0804484803558191,4.0,-622.75,0.0,-45.5,-521.5,,0.0,323178.75,24597.0,0.0,0.0,-275.0,,,1.0,22032.225,231727.5,233145.0,23175.0,231727.5,19.0,1.0,0.0984694203268641,,,-1373.0,166.0,12.0,365243.0,-1342.0,-1012.0,-1012.0,-1010.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,6.5,-1177.0,-1188.1666666666667,22017.18375,22017.18375,1.0,6.5,-1177.0,-1188.1666666666667,22017.18375,22017.18375
949,101096,1.0,Cash loans,M,N,Y,0,112500.0,550980.0,35343.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018029,-8824,-757.0,-1314.0,-1386,,1,1,0,1,0,0,Laborers,1.0,3,3,TUESDAY,6,0,0,0,0,1,1,Transport: type 2,0.1002068956111346,0.0357634800925385,0.4578995512067301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,24.175342465753424,15.589508530685002,0.2041816399869323,0.0857887579329102,112500.0,0.31416,0.0641457040182946,1.0,-407.0,0.0,703.0,,,0.0,90000.0,88137.0,0.0,0.0,-77.0,,-6.5,2.0,9879.3225,56297.25,58385.25,1525.5,56297.25,6.0,1.0,0.0545108250674469,,,-583.5,27.5,7.0,365243.0,-538.5,-358.5,-373.5,-369.5,0.0,,,,,,,,,,,,,,,,,,,,,1.05,3.55,-462.0,-475.65,10468.942875,9839.118375,1.05,3.55,-462.0,-475.65,10468.942875,9839.118375
967,101117,0.0,Cash loans,F,N,N,0,144000.0,585000.0,32796.0,585000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.02461,-18656,,-6456.0,-2155,,1,0,0,1,1,0,,1.0,2,2,TUESDAY,10,0,0,0,0,0,0,XNA,0.4863160438692074,0.657793455431647,0.4382813743111921,0.4052,0.201,0.9861,,,0.44,0.3793,0.3333,,0.2179,,0.4015,,0.0168,0.4128,0.2086,0.9861,,,0.4431,0.3793,0.3333,,0.2228,,0.4183,,0.0178,0.4091,0.201,0.9861,,,0.44,0.3793,0.3333,,0.2217,,0.4087,,0.0172,,block of flats,0.3824,Panel,No,2.0,0.0,2.0,0.0,-2341.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,51.11232876712329,17.83754116355653,0.2461538461538461,,144000.0,0.22775,0.0560615384615384,10.0,-1123.9,0.0,-117.22222222222224,-970.8333333333334,0.0,0.0,102839.868,29094.781499999997,31323.525,0.0,-409.4,22500.0,-19.8,3.0,59688.075,377899.5,385855.5,3255.0,377899.5,14.333333333333334,1.0,0.0400862893128311,,,-1446.0,1506.6666666666667,14.0,365243.0,-1415.0,-1025.0,-1175.0,-1170.3333333333333,0.0,,,,,,,,,,,,,,,,,,,,,1.3935185185185184,5.0,-1295.0,-1304.7962962962963,314763.14729166665,314763.14729166665,1.3935185185185184,5.0,-1295.0,-1304.7962962962963,314763.14729166665,314763.14729166665
1458,101716,0.0,Cash loans,F,Y,Y,2,225000.0,314100.0,16573.5,225000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.009549,-14894,-1005.0,-1965.0,-1965,5.0,1,1,0,1,0,0,Sales staff,4.0,2,2,THURSDAY,16,0,0,0,0,0,0,Self-employed,0.6098812845698369,0.4501243423022507,0.2881295999178507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,-747.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,40.8054794520548,18.951941352158567,0.7163323782234957,0.0674768363099234,56250.0,0.07366,0.0527650429799426,2.0,-553.0,0.0,-188.5,-560.0,4209.75,0.0,110072.25,6561.0,0.0,0.0,-258.5,,,5.0,6750.0,79549.2,79549.2,0.0,132582.0,16.0,1.0,0.0,,,-323.4,27.8,0.0,-411.0,-363.0,365243.0,365243.0,365243.0,0.0,-8.0,109092.8353846154,135000.0,0.0,10384.615384615385,0.0,10384.615384615385,4625.511923076923,8381.25,5396.711538461538,105018.075,109031.56615384616,109031.56615384616,0.0,0.0769230769230769,0.0,0.0769230769230769,5.076923076923077,0.0,0.0,0.0,13.0,-204.24,-204.72,4023.0,4023.0,0.0,13.0,-204.24,-204.72,4023.0,4023.0
